City,Total_cases,Total_deaths,Total_tests,Active_cases,Date
Puerto Rico ,2173,108,13022,1319,05-09-2020
North Dakota ,1464,35,43933,667,05-09-2020
Maine ,1408,64,23356,487,05-09-2020
West Virginia ,1335,53,60997,544,05-09-2020
Vermont ,921,53,19527,124,05-09-2020
Wyoming ,644,7,12007,209,05-09-2020
Hawaii ,629,17,37712,47,05-09-2020
Montana ,458,16,21329,20,05-09-2020
Alaska ,377,10,25473,62,05-09-2020
Guam ,151,5,605,15,05-09-2020
United States Virgin Islands ,68,4,1128,7,05-09-2020
Northern Mariana Islands ,16,2,2336,2,05-09-2020
New York ,343409,26771,1153768,260072,05-10-2020
New Jersey ,138579,9255,303750,127823,05-10-2020
Massachusetts ,76743,4840,376537,63785,05-10-2020
Illinois ,76085,3349,416331,72091,05-10-2020
California ,66825,2695,912570,53778,05-10-2020
Pennsylvania ,58686,3798,285821,53808,05-10-2020
Michigan ,46756,4526,281747,19544,05-10-2020
Florida ,40596,1721,539630,37829,05-10-2020
Texas ,38642,1111,489294,13942,05-10-2020
Connecticut ,32984,2932,123569,29987,05-10-2020
Georgia ,32976,1404,243547,31232,05-10-2020
Maryland ,32587,1644,159931,28902,05-10-2020
Louisiana ,31600,2286,215872,8998,05-10-2020
Indiana ,24126,1508,140029,21059,05-10-2020
Virginia ,24081,839,157957,20118,05-10-2020
Ohio ,23697,1331,196670,21918,05-10-2020
Colorado ,19375,967,100610,17849,05-10-2020
Washington ,17426,922,242989,12878,05-10-2020
North Carolina ,14891,561,192135,12522,05-10-2020
Tennessee ,14768,242,252748,7157,05-10-2020
Iowa ,11959,265,74174,7009,05-10-2020
Rhode Island ,11274,422,91213,10122,05-10-2020
Minnesota ,11271,578,111088,3811,05-10-2020
Arizona ,11119,536,137739,10513,05-10-2020
Veteran Affairs ,10877,850,123420,2647,05-10-2020
Wisconsin ,9939,398,111874,5193,05-10-2020
Missouri ,9810,493,108898,7254,05-10-2020
Alabama ,9736,393,126594,9323,05-10-2020
Mississippi ,9501,430,91999,4650,05-10-2020
Nebraska ,8234,96,45644,8116,05-10-2020
South Carolina ,7531,330,80963,2320,05-10-2020
Kansas ,6829,174,49933,4980,05-10-2020
Delaware ,6447,224,31039,3686,05-10-2020
Kentucky ,6440,304,86900,3828,05-10-2020
District Of Columbia ,6272,323,29570,5069,05-10-2020
Utah ,6103,66,143294,3852,05-10-2020
Nevada ,6098,306,71603,1595,05-10-2020
New Mexico ,4778,191,93262,3462,05-10-2020
Oklahoma ,4589,272,95869,1113,05-10-2020
Arkansas ,3747,88,65528,691,05-10-2020
South Dakota ,3393,34,22952,1234,05-10-2020
Oregon ,3160,127,74571,1908,05-10-2020
New Hampshire ,3011,131,33453,1652,05-10-2020
Navajo Nation ,2876,96,16032,2780,05-10-2020
Idaho ,2230,67,31961,784,05-10-2020
Puerto Rico ,2198,111,13022,1341,05-10-2020
North Dakota ,1491,35,44869,664,05-10-2020
Maine ,1436,64,23500,511,05-10-2020
West Virginia ,1360,54,62644,568,05-10-2020
Vermont ,927,53,20048,97,05-10-2020
Wyoming ,653,7,13416,218,05-10-2020
Hawaii ,631,17,37712,63,05-10-2020
Montana ,458,16,21704,20,05-10-2020
Alaska ,378,10,26449,63,05-10-2020
Guam  ,151,5,605,15,05-10-2020
United States Virgin Islands ,69,4,1210,6,05-10-2020
Northern Mariana Islands ,16,2,2336,2,05-10-2020
New York ,345817,26874,1204650,260843,05-11-2020
New Jersey ,140008,9264,415969,129209,05-11-2020
Massachusetts ,77793,4979,388389,50666,05-11-2020
Illinois ,77741,3406,429984,73690,05-11-2020
California ,67986,2719,958161,54287,05-11-2020
Pennsylvania ,60557,3843,297640,55614,05-11-2020
Michigan ,47138,4551,294411,19901,05-11-2020
Florida ,40982,1735,670493,38201,05-11-2020
Texas ,39890,1133,513978,15168,05-11-2020
Georgia ,33833,1405,243547,32088,05-11-2020
Connecticut ,33554,2967,130192,30522,05-11-2020
Maryland ,33373,1683,164780,29649,05-11-2020
Louisiana ,31815,2308,220830,9191,05-11-2020
Virginia ,25070,850,167758,21096,05-11-2020
Indiana  ,24627,1540,146688,21528,05-11-2020
Ohio ,24081,1341,204862,22292,05-11-2020
Colorado ,19703,971,104077,18173,05-11-2020
Washington ,17610,932,248875,13032,05-11-2020
North Carolina ,15198,568,195865,12822,05-11-2020
Tennessee ,14985,243,261869,7373,05-11-2020
Iowa ,12373,271,77792,6853,05-11-2020
Minnesota ,11799,591,115781,3672,05-11-2020
Rhode Island ,11450,430,93332,10290,05-11-2020
Arizona ,11380,542,150241,10768,05-11-2020
Veteran Affairs ,10952,857,123420,2642,05-11-2020
Wisconsin ,10219,400,115382,4805,05-11-2020
Missouri ,10008,497,115546,7448,05-11-2020
Alabama ,9953,401,129444,9532,05-11-2020
Mississippi ,9674,435,95885,4818,05-11-2020
Nebraska  ,8315,98,46314,8195,05-11-2020
South Carolina ,7653,331,84457,2441,05-11-2020
Kansas ,6962,175,52505,5112,05-11-2020
Delaware ,6565,225,31928,3721,05-11-2020
Kentucky ,6440,304,86900,3828,05-11-2020
District Of Columbia ,6389,328,30261,5180,05-11-2020
Utah ,6251,67,146510,3999,05-11-2020
Nevada ,6098,306,71603,1595,05-11-2020
New Mexico ,4863,200,102498,3538,05-11-2020
Oklahoma ,4613,272,95869,1137,05-11-2020
Arkansas ,4012,91,69008,809,05-11-2020
South Dakota ,3517,34,24578,1296,05-11-2020
Oregon ,3228,127,75450,1976,05-11-2020
New Hampshire ,3071,133,34794,1709,05-11-2020
Navajo Nation ,2973,98,16549,2875,05-11-2020
Puerto Rico ,2256,113,13022,1397,05-11-2020
Idaho ,2230,67,31961,784,05-11-2020
North Dakota ,1518,36,47014,636,05-11-2020
Maine ,1462,65,23500,525,05-11-2020
West Virginia ,1366,54,63469,574,05-11-2020
Vermont ,927,53,20871,89,05-11-2020
Wyoming ,662,7,13416,227,05-11-2020
Hawaii ,632,17,37712,54,05-11-2020
Montana ,459,16,22572,20,05-11-2020
Alaska ,379,10,27364,45,05-11-2020
Guam ,151,5,605,15,05-11-2020
United States Virgin Islands ,69,5,1215,4,05-11-2020
Northern Mariana Islands ,19,2,2695,5,05-11-2020
New York  ,347151,27003,1204650,261785,05-12-2020
New Jersey ,142046,9532,433060,130965,05-12-2020
Illinois ,79007,3459,442425,74903,05-12-2020
Massachusetts ,78462,5108,394728,51206,05-12-2020
California ,69416,2789,994820,55499,05-12-2020
Pennsylvania ,61346,3917,304161,56329,05-12-2020
Michigan ,47552,4584,308233,20282,05-12-2020
Florida ,41923,1782,598883,33048,05-12-2020
Texas ,40855,1153,525787,16110,05-12-2020
Georgia ,34635,1461,251288,32834,05-12-2020
Maryland ,34061,1756,169503,29911,05-12-2020
Connecticut ,33765,3008,132508,30692,05-12-2020
Louisiana ,32050,2347,228012,9387,05-12-2020
Virginia ,25800,891,171239,21785,05-12-2020
Indiana ,25127,1578,150510,21858,05-12-2020
Ohio ,24787,1360,210530,22979,05-12-2020
Colorado ,19879,987,108790,18280,05-12-2020
Washington ,17890,953,248875,13219,05-12-2020
Tennessee ,15544,251,273277,7255,05-12-2020
North Carolina ,15515,596,202244,12493,05-12-2020
Iowa ,12912,289,81288,7005,05-12-2020
Minnesota ,12494,614,120834,3657,05-12-2020
Arizona ,11736,562,159082,11104,05-12-2020
Rhode Island ,11614,444,95239,10440,05-12-2020
Veteran Affairs ,11312,921,129181,2851,05-12-2020
Wisconsin ,10418,409,118451,4995,05-12-2020
Alabama ,10260,428,129444,9812,05-12-2020
Missouri ,10149,507,115546,7113,05-12-2020
Mississippi ,9908,457,96426,5030,05-12-2020
Nebraska ,8572,100,48019,8450,05-12-2020
South Carolina ,7792,346,89968,2565,05-12-2020
Kansas ,7163,182,54109,5306,05-12-2020
Delaware ,6741,237,33291,3702,05-12-2020
Kentucky ,6677,311,104001,4031,05-12-2020
District Of Columbia ,6485,336,31050,5263,05-12-2020
Utah ,6362,68,150585,3113,05-12-2020
Nevada ,6311,312,76914,1802,05-12-2020
New Mexico ,5069,208,106721,3561,05-12-2020
Oklahoma ,4613,274,95869,1135,05-12-2020
Arkansas ,4043,94,70323,800,05-12-2020
South Dakota ,3614,34,24578,1393,05-12-2020
Oregon ,3286,130,77542,2031,05-12-2020
Navajo Nation ,3204,102,16549,3102,05-12-2020
New Hampshire ,3160,133,35561,1796,05-12-2020
Puerto Rico ,2299,114,13022,1439,05-12-2020
Idaho ,2260,70,31961,811,05-12-2020
North Dakota ,1571,38,47832,656,05-12-2020
Maine ,1477,65,23500,499,05-12-2020
West Virginia ,1371,57,64165,511,05-12-2020
Vermont ,927,53,21262,87,05-12-2020
Wyoming ,669,7,13416,211,05-12-2020
Hawaii ,634,17,37712,56,05-12-2020
Montana ,461,16,23035,20,05-12-2020
Alaska ,381,10,28680,43,05-12-2020
Guam ,152,5,605,16,05-12-2020
United States Virgin Islands ,69,5,1215,4,05-12-2020
Northern Mariana Islands ,19,2,2695,5,05-12-2020
New York ,350582,27282,1258907,264107,05-13-2020
New Jersey ,142079,9702,441450,129149,05-13-2020
Illinois ,83021,3601,471691,70644,05-13-2020
Massachusetts ,79332,5141,401496,52043,05-13-2020
California ,71081,2882,1036275,56487,05-13-2020
Pennsylvania ,61892,4016,311186,51370,05-13-2020
Michigan ,48021,4674,317282,20661,05-13-2020
Florida ,42402,1829,595495,33480,05-13-2020
Texas ,41866,1179,538172,16436,05-13-2020
Georgia ,35245,1494,273904,33411,05-13-2020
Maryland ,34812,1809,173574,30609,05-13-2020
Connecticut ,34333,3041,138424,28363,05-13-2020
Louisiana ,32662,2381,237904,7673,05-13-2020
Virginia ,26746,927,180084,22695,05-13-2020
Indiana ,25473,1619,154083,22163,05-13-2020
Ohio ,25264,1438,217731,19658,05-13-2020
Colorado ,20157,1009,109304,18453,05-13-2020
Washington ,18064,964,252108,13098,05-13-2020
Tennessee ,16111,265,283924,7510,05-13-2020
North Carolina ,15950,615,210457,6220,05-13-2020
Iowa ,13289,306,85719,7029,05-13-2020
Minnesota ,12917,638,122035,3492,05-13-2020
Arizona ,12176,594,165810,11512,05-13-2020
Rhode Island ,11835,462,97922,10643,05-13-2020
Veteran Affairs ,11573,953,129181,2680,05-13-2020
Wisconsin ,10611,418,123359,5179,05-13-2020
Alabama ,10564,445,135691,10099,05-13-2020
Missouri ,10276,531,121296,7091,05-13-2020
Mississippi ,10090,465,100048,3357,05-13-2020
Nebraska ,8692,103,49799,8567,05-13-2020
South Carolina ,7927,355,93140,2691,05-13-2020
Kansas ,7245,185,54109,5385,05-13-2020
Kentucky ,6853,321,110609,3986,05-13-2020
Delaware ,6741,237,33291,3702,05-13-2020
District Of Columbia ,6584,350,31658,5300,05-13-2020
Utah ,6432,73,153485,3092,05-13-2020
Nevada ,6311,321,76914,1793,05-13-2020
New Mexico ,5212,219,106721,3559,05-13-2020
Oklahoma ,4852,278,109859,1151,05-13-2020
Arkansas ,4164,95,73215,849,05-13-2020
South Dakota ,3663,39,25197,1315,05-13-2020
Oregon ,3358,130,79595,2103,05-13-2020
New Hampshire ,3239,142,37216,1863,05-13-2020
Navajo Nation ,3204,102,16549,3102,05-13-2020
Puerto Rico ,2329,115,13022,1468,05-13-2020
Idaho ,2293,70,32705,844,05-13-2020
North Dakota ,1647,40,48945,638,05-13-2020
Maine ,1515,66,23500,506,05-13-2020
West Virginia ,1398,58,65708,527,05-13-2020
Vermont ,929,53,21676,87,05-13-2020
Wyoming ,675,7,15059,217,05-13-2020
Hawaii ,635,17,37939,55,05-13-2020
Montana ,462,16,23852,16,05-13-2020
Alaska ,383,10,29961,39,05-13-2020
Guam ,152,5,605,16,05-13-2020
United States Virgin Islands ,69,6,1242,2,05-13-2020
Northern Mariana Islands ,19,2,3040,5,05-13-2020
New York ,350848,27290,1258907,264341,05-14-2020
New Jersey ,142861,9727,441450,129846,05-14-2020
Illinois ,84698,3792,489359,71681,05-14-2020
Massachusetts ,80497,5315,410032,47370,05-14-2020
California ,73143,2974,1065906,57978,05-14-2020
Pennsylvania ,62808,4312,319562,51881,05-14-2020
Michigan ,48391,4714,329639,20991,05-14-2020
Texas ,43502,1217,587431,18602,05-14-2020
Florida ,43210,1876,609577,33955,05-14-2020
 Maryland ,35903,1866,178454,31581,05-14-2020
Georgia ,35858,1527,285881,33991,05-14-2020
Connecticut ,34855,3125,142943,28801,05-14-2020
Louisiana ,33489,2417,247588,8464,05-14-2020
Virginia ,27813,955,185551,23180,05-14-2020
Indiana ,26053,1646,160239,22538,05-14-2020
Ohio ,25729,1485,225854,20076,05-14-2020
Colorado ,20475,1062,112505,18718,05-14-2020
Washington ,18281,975,261080,13040,05-14-2020
North Carolina ,16696,637,219268,6944,05-14-2020
Tennessee ,16370,273,292917,7467,05-14-2020
Iowa ,13675,318,89294,7126,05-14-2020
Minnesota ,13435,672,128752,3627,05-14-2020
Arizona ,12674,624,175455,11980,05-14-2020
Rhode Island ,12016,468,101601,10662,05-14-2020
Veteran Affairs ,11718,972,129181,2508,05-14-2020
Wisconsin ,10902,421,128013,4808,05-14-2020
Alabama ,10895,466,140876,10409,05-14-2020
Mississippi ,10483,480,105326,3735,05-14-2020
Missouri ,10355,548,124142,7153,05-14-2020
Nebraska ,9075,107,53427,8946,05-14-2020
South Carolina ,8030,362,95866,2787,05-14-2020
Kansas ,7542,188,57544,5497,05-14-2020
Delaware ,7223,260,36857,3883,05-14-2020
Kentucky ,7080,326,117395,4105,05-14-2020
District Of Columbia ,6736,358,32999,5412,05-14-2020
Utah ,6620,75,156786,3278,05-14-2020
Nevada ,6499,331,82993,1971,05-14-2020
New Mexico ,5364,231,115011,3618,05-14-2020
Oklahoma ,4962,284,109859,1018,05-14-2020
Arkansas ,4236,97,75818,862,05-14-2020
South Dakota ,3732,39,25844,1326,05-14-2020
Oregon ,3416,134,83987,1876,05-14-2020
Navajo Nation ,3392,119,16549,3273,05-14-2020
New Hampshire ,3299,150,39175,1913,05-14-2020
Puerto Rico ,2427,117,13022,1564,05-14-2020
Idaho ,2324,70,33128,875,05-14-2020
North Dakota ,1712,40,50311,665,05-14-2020
Maine ,1565,69,33035,538,05-14-2020
West Virginia ,1427,60,68713,554,05-14-2020
Vermont ,932,53,22505,87,05-14-2020
Wyoming ,688,7,15059,201,05-14-2020
Hawaii ,638,17,38365,58,05-14-2020
Montana ,462,16,24549,15,05-14-2020
Alaska ,383,10,30649,39,05-14-2020
Guam ,152,5,605,16,05-14-2020
United States Virgin Islands ,69,6,1242,2,05-14-2020
Northern Mariana Islands ,19,2,3040,5,05-14-2020
New York ,358099,28134,1408209,268568,05-17-2020
New Jersey ,146389,10260,475769,132772,05-17-2020
Illinois ,92457,4129,561649,86160,05-17-2020
Massachusetts ,84933,5705,448089,51416,05-17-2020
California ,78859,3208,1188878,62600,05-17-2020
Pennsylvania ,65307,4489,339528,54269,05-17-2020
Michigan ,50504,4880,411506,17390,05-17-2020
Texas ,47672,1340,680913,19462,05-17-2020
Florida ,45588,1973,1073278,35977,05-17-2020
Maryland ,38804,1992,190175,34006,05-17-2020
Georgia ,37701,1606,351175,35755,05-17-2020
Connecticut ,37419,3408,170607,27747,05-17-2020
Louisiana ,34432,2491,265170,9333,05-17-2020
Virginia ,30388,1009,210825,25386,05-17-2020
Indiana ,27778,1751,177243,24158,05-17-2020
Ohio ,27478,1614,254914,21696,05-17-2020
Colorado ,21633,1192,123422,18950,05-17-2020
Washington ,19211,1015,288495,13426,05-17-2020
North Carolina ,18610,684,248944,8811,05-17-2020
Tennessee ,17288,295,320201,7464,05-17-2020
Minnesota ,15668,722,150605,4049,05-17-2020
Iowa ,14651,351,100241,7146,05-17-2020
Arizona ,13937,680,203006,13187,05-17-2020
Rhode Island ,12674,499,112550,11289,05-17-2020
Wisconsin ,12187,453,146393,5541,05-17-2020
Veteran Affairs ,12040,1005,143876,1984,05-17-2020
Alabama ,11742,485,156350,11237,05-17-2020
Mississippi ,11296,521,113126,4507,05-17-2020
Missouri ,10832,596,139340,7429,05-17-2020
Nebraska ,10220,123,65774,10075,05-17-2020
South Carolina ,8661,380,120331,2238,05-17-2020
Kansas ,7941,195,61592,5269,05-17-2020
Kentucky ,7688,334,129405,4586,05-17-2020
Delaware ,7670,290,40865,3902,05-17-2020
District Of Columbia ,7123,383,36526,5717,05-17-2020
Utah ,7068,78,166774,3272,05-17-2020
Nevada ,6857,349,95954,1469,05-17-2020
New Mexico ,5847,259,128574,3849,05-17-2020
Oklahoma ,5310,288,123399,1077,05-17-2020
Arkansas ,4578,98,83232,1008,05-17-2020
South Dakota ,3959,44,28176,1242,05-17-2020
Navajo Nation ,3912,140,19441,3772,05-17-2020
Oregon ,3612,137,92121,2069,05-17-2020
New Hampshire ,3556,171,53405,2127,05-17-2020
Puerto Rico ,2646,123,13022,1777,05-17-2020
Idaho ,2419,73,35688,967,05-17-2020
North Dakota  ,1900,43,55221,679,05-17-2020
Maine ,1687,70,33035,605,05-17-2020
West Virginia ,1492,65,75404,538,05-17-2020
Vermont ,940,54,23205,76,05-17-2020
Wyoming ,741,7,16394,236,05-17-2020
Hawaii ,639,17,41788,50,05-17-2020
Montana ,468,16,26885,21,05-17-2020
Alaska ,392,10,33281,39,05-17-2020
Guam ,154,5,605,18,05-17-2020
United States Virgin Islands ,69,6,1278,2,05-17-2020
Northern Mariana Islands ,21,2,3325,7,05-17-2020
New York ,359883,28328,1439557,269874,05-18-2020
New Jersey ,148197,10366,524516,131076,05-18-2020
Illinois ,94191,4177,581944,87846,05-18-2020
Massachusetts ,86010,5797,460826,52401,05-18-2020
California ,80299,3289,1243242,63904,05-18-2020
Pennsylvania ,65908,4590,344673,54598,05-18-2020
Michigan ,51142,4891,411506,18017,05-18-2020
Texas ,48677,1360,693276,19747,05-18-2020
Florida ,46442,1997,677710,36807,05-18-2020
Maryland ,39762,2023,201506,34933,05-18-2020
Georgia ,38081,1642,364289,36099,05-18-2020
Connecticut ,37419,3408,170607,27747,05-18-2020
Louisiana ,34709,2563,265170,9538,05-18-2020
Virginia ,31140,1014,210825,26019,05-18-2020
Indiana ,28255,1765,183912,24621,05-18-2020
Ohio ,27929,1628,264462,22133,05-18-2020
Colorado ,21938,1215,126330,19232,05-18-2020
Washington ,19283,1016,288507,13394,05-18-2020
North Carolina ,19123,691,255755,9317,05-18-2020
Tennessee ,17388,298,325280,7438,05-18-2020
Minnesota ,16372,731,156606,4744,05-18-2020
Iowa ,14955,355,103148,7276,05-18-2020
Arizona ,14170,686,212784,13414,05-18-2020
Rhode Island ,12795,506,115384,11403,05-18-2020
Wisconsin ,12543,453,152217,5317,05-18-2020
Veteran Affairs ,12246,1012,143876,2183,05-18-2020
Alabama ,12052,488,156350,11544,05-18-2020
Mississippi ,11432,528,113126,4636,05-18-2020
Missouri ,11057,604,157044,7646,05-18-2020
Nebraska ,10348,123,67649,9876,05-18-2020
South Carolina ,8816,385,127802,2388,05-18-2020
Kansas ,7972,196,61592,5172,05-18-2020
Delaware ,7869,297,42458,4027,05-18-2020
Kentucky ,7688,334,129685,4586,05-18-2020
District Of Columbia ,7270,392,37825,5850,05-18-2020
Utah ,7238,80,170752,3440,05-18-2020
Nevada ,6906,350,97094,1517,05-18-2020
New Mexico ,5938,265,133253,3934,05-18-2020
Oklahoma ,5398,288,123472,1165,05-18-2020
Arkansas ,4759,98,85185,1071,05-18-2020
South Dakota ,4027,44,29045,1199,05-18-2020
Navajo Nation ,3912,140,19441,3772,05-18-2020
Oregon ,3623,137,94356,2080,05-18-2020
New Hampshire ,3596,172,53405,2156,05-18-2020
Puerto Rico ,2710,124,13022,1840,05-18-2020
Idaho ,2419,73,36672,967,05-18-2020
North Dakota ,1931,44,56561,668,05-18-2020
Maine ,1713,71,33035,589,05-18-2020
West Virginia ,1491,67,76035,505,05-18-2020
Vermont ,940,54,23205,76,05-18-2020
Wyoming ,754,8,16394,248,05-18-2020
Hawaii ,640,17,41788,50,05-18-2020
Montana ,470,16,28167,20,05-18-2020
Alaska ,396,10,34651,42,05-18-2020
Guam ,154,5,605,18,05-18-2020
United States Virgin Islands ,69,6,1278,2,05-18-2020
Northern Mariana Islands ,21,2,3325,7,05-18-2020
New York ,361266,28480,1442077,270595,05-19-2020
New Jersey ,150087,10448,525537,132778,05-19-2020
Illinois ,96485,4234,603241,90083,05-19-2020
Massachusetts ,87052,5862,469199,53378,05-19-2020
California ,81903,3321,1370949,63835,05-19-2020
Pennsylvania ,67155,4791,361053,55615,05-19-2020
Michigan ,51915,4915,424998,18766,05-19-2020
Texas ,49684,1369,735621,20307,05-19-2020
Florida ,46944,2052,717162,37254,05-19-2020
Maryland ,41546,2081,208568,36659,05-19-2020
Georgia ,38624,1649,378156,36635,05-19-2020
Connecticut ,38116,3449,177679,28403,05-19-2020
Louisiana ,35038,2563,278073,6226,05-19-2020
Virginia ,32145,1041,224991,26833,05-19-2020
Indiana ,28705,1824,189330,25012,05-19-2020
Ohio ,28485,1660,271849,21957,05-19-2020
Colorado ,22202,1224,129159,19487,05-19-2020
Washington ,19510,1019,289717,13483,05-19-2020
North Carolina ,19208,693,255755,6878,05-19-2020
Tennessee ,18011,301,337428,7824,05-19-2020
Minnesota ,17029,757,161835,4732,05-19-2020
Iowa ,15296,367,107196,7082,05-19-2020
Arizona ,14566,704,220612,13792,05-19-2020
Rhode Island ,12951,532,117246,11533,05-19-2020
Wisconsin ,12687,459,157189,5455,05-19-2020
Veteran Affairs ,12469,1066,143876,2193,05-19-2020
Alabama ,12333,496,157566,11817,05-19-2020
Mississippi ,11704,554,117760,4882,05-19-2020
Missouri  ,11203,612,157044,7784,05-19-2020
Nebraska ,10625,125,70147,10151,05-19-2020
South Carolina ,8942,391,131559,2508,05-19-2020
 Kansas ,8340,199,66990,5537,05-19-2020
Kentucky ,7935,346,145238,4804,05-19-2020
Delaware ,7869,297,42458,4027,05-19-2020
District Of Columbia ,7434,400,39374,5994,05-19-2020
Utah ,7384,80,174022,3121,05-19-2020
Nevada ,7046,365,103703,1642,05-19-2020
New Mexico ,6096,270,137620,4087,05-19-2020
Oklahoma ,5489,294,123560,1060,05-19-2020
 Arkansas ,4813,100,87614,1068,05-19-2020
Navajo Nation ,4071,142,19441,3929,05-19-2020
South Dakota ,4027,44,29045,1199,05-19-2020
Oregon ,3687,138,97315,2143,05-19-2020
New Hampshire ,3652,172,53405,2211,05-19-2020
Puerto Rico ,2805,124,13022,1935,05-19-2020
Idaho ,2455,74,37847,1002,05-19-2020
North Dakota ,1994,45,57731,680,05-19-2020
Maine ,1741,73,33035,580,05-19-2020
West Virginia ,1509,68,78301,522,05-19-2020
Vermont ,944,54,24591,70,05-19-2020
Wyoming ,766,10,17661,252,05-19-2020
Hawaii ,640,17,42045,49,05-19-2020
Montana ,471,16,28950,18,05-19-2020
Alaska ,399,10,35611,44,05-19-2020
Guam ,154,5,4841,18,05-19-2020
United States Virgin Islands ,69,6,1384,2,05-19-2020
Northern Mariana Islands ,21,2,3817,6,05-19-2020
New York ,362630,28648,1489521,271310,05-20-2020
New Jersey ,151014,10591,522911,133508,05-20-2020
Illinois ,98030,4379,621684,93540,05-20-2020
Massachusetts ,87925,5938,476940,54175,05-20-2020
California ,83864,3425,1395772,65418,05-20-2020
Pennsylvania ,67427,4751,362379,55913,05-20-2020
Michigan ,52350,5017,438565,19099,05-20-2020
Texas ,50758,1402,773352,20893,05-20-2020
Florida ,47471,2096,772669,37737,05-20-2020
Maryland ,42323,2123,215330,37394,05-20-2020
Georgia ,38889,1684,402940,36865,05-20-2020
Connecticut ,38430,3472,185520,28694,05-20-2020
Louisiana ,35316,2581,285970,6486,05-20-2020
Virginia ,32908,1074,235199,27563,05-20-2020
Indiana ,29274,1864,195738,25541,05-20-2020
Ohio ,28991,1724,277602,22354,05-20-2020
Colorado ,22482,1257,131837,19734,05-20-2020
North Carolina ,19844,719,265008,7488,05-20-2020
Washington ,19720,1031,289940,13529,05-20-2020
Tennessee ,18378,305,346123,7104,05-20-2020
Minnesota ,17670,786,167338,4657,05-20-2020
Iowa ,15534,383,110211,6940,05-20-2020
Arizona ,14897,747,227099,14080,05-20-2020
Rhode Island ,13356,538,120528,11932,05-20-2020
Wisconsin ,12885,467,161122,5645,05-20-2020
Alabama ,12701,514,157566,12167,05-20-2020
Veteran Affairs ,12616,1082,143876,2324,05-20-2020
Mississippi ,11967,570,120680,3716,05-20-2020
Missouri ,11361,625,157044,7929,05-20-2020
Nebraska ,10846,132,72333,10365,05-20-2020
South Carolina ,9056,399,135063,2614,05-20-2020
Kansas ,8364,200,66990,5395,05-20-2020
Kentucky ,8069,366,145238,4877,05-20-2020
Delaware ,8037,304,42458,4188,05-20-2020
District Of Columbia  ,7551,407,40419,6085,05-20-2020
Utah ,7518,88,174022,3247,05-20-2020
Nevada ,7166,373,107666,1754,05-20-2020
New Mexico ,6192,276,142246,4034,05-20-2020
Oklahoma ,5532,299,123560,967,05-20-2020
Arkansas ,5003,107,96258,1044,05-20-2020
South Dakota ,4177,46,30389,1108,05-20-2020
Navajo Nation ,4153,144,19441,4009,05-20-2020
Oregon ,3726,140,99630,2180,05-20-2020
New Hampshire ,3721,182,57505,2264,05-20-2020
Puerto Rico ,2866,125,13022,1995,05-20-2020
Idaho ,2476,77,37847,1020,05-20-2020
North Dakota ,2095,49,59200,744,05-20-2020
Maine ,1819,73,33035,636,05-20-2020
West Virginia ,1545,69,80641,526,05-20-2020
Vermont ,944,54,25058,66,05-20-2020
Wyoming ,776,10,17661,238,05-20-2020
Hawaii ,641,17,45023,46,05-20-2020
Montana ,478,16,29726,22,05-20-2020
Alaska ,399,10,36380,41,05-20-2020
 Guam ,154,5,4920,18,05-20-2020
United States Virgin Islands ,69,6,1384,2,05-20-2020
Northern Mariana Islands ,21,2,3817,6,05-20-2020
New York ,364249,28758,1555055,272484,05-21-2020
New Jersey ,152096,10843,531950,134215,05-21-2020
Illinois ,100418,4525,642713,95782,05-21-2020
Massachusetts ,88970,6066,489953,55092,05-21-2020
California ,86227,3512,1395772,66777,05-21-2020
Pennsylvania ,68540,4852,369481,56832,05-21-2020
Michigan ,53009,5060,438565,19715,05-21-2020
Texas ,51651,1423,788734,19852,05-21-2020
Florida ,48675,2144,815584,38893,05-21-2020
Maryland ,43531,2159,220233,38566,05-21-2020
Georgia ,40405,1754,404207,38311,05-21-2020
Connecticut ,39208,3582,196447,29362,05-21-2020
Louisiana ,35316,2608,285970,6459,05-21-2020
Virginia ,34137,1099,241957,28767,05-21-2020
Indiana ,29936,1913,202995,26154,05-21-2020
Ohio ,29436,1781,289528,22741,05-21-2020
Colorado ,22797,1299,135611,20007,05-21-2020
North Carolina ,20910,726,290645,8547,05-21-2020
Washington ,19822,1036,297942,13603,05-21-2020
Tennessee ,18532,309,354031,6440,05-21-2020
Minnesota ,18200,818,167338,4894,05-21-2020
Iowa ,15956,404,115031,7047,05-21-2020
Arizona ,15315,763,237417,14482,05-21-2020
Rhode Island ,13571,556,123367,12129,05-21-2020
Wisconsin ,13413,481,167713,5204,05-21-2020
Alabama ,13058,528,168120,12510,05-21-2020
Veteran Affairs ,12797,1092,143876,2495,05-21-2020
Mississippi ,12222,580,120680,3961,05-21-2020
Missouri ,11513,644,161984,7904,05-21-2020
Nebraska ,11122,138,75864,10635,05-21-2020
South Carolina ,9175,407,138238,2725,05-21-2020
Kansas ,8542,203,71203,5538,05-21-2020
Delaware ,8386,317,47542,3939,05-21-2020
Kentucky ,8167,376,158672,4872,05-21-2020
District Of Columbia ,7788,412,41756,6315,05-21-2020
Utah ,7710,90,179664,3437,05-21-2020
Nevada ,7255,378,111323,1838,05-21-2020
New Mexico ,6317,283,147344,4049,05-21-2020
Oklahoma ,5680,304,144371,1015,05-21-2020
Arkansas ,5003,107,96258,1044,05-21-2020
