City,Date,Confirmed,Deaths
Louisiana,1/24/20,0,0
Maine,1/24/20,0,0
Maryland,1/24/20,0,0
Massachusetts,1/24/20,0,0
Michigan,1/24/20,0,0
Minnesota,1/24/20,0,0
Mississippi,1/24/20,0,0
Missouri,1/24/20,0,0
Montana,1/24/20,0,0
Nebraska,1/24/20,0,0
Nevada,1/24/20,0,0
New Hampshire,1/24/20,0,0
New Jersey,1/24/20,0,0
New Mexico,1/24/20,0,0
New York,1/24/20,0,0
North Carolina,1/24/20,0,0
North Dakota,1/24/20,0,0
Ohio,1/24/20,0,0
Oklahoma,1/24/20,0,0
Oregon,1/24/20,0,0
Pennsylvania,1/24/20,0,0
Rhode Island,1/24/20,0,0
South Carolina,1/24/20,0,0
South Dakota,1/24/20,0,0
Tennessee,1/24/20,0,0
Texas,1/24/20,0,0
Utah,1/24/20,0,0
Vermont,1/24/20,0,0
Virginia,1/24/20,0,0
Washington,1/24/20,0,0
West Virginia,1/24/20,0,0
Wisconsin,1/24/20,0,0
Wyoming,1/24/20,0,0
Diamond Princess,1/24/20,0,0
Grand Princess,1/24/20,0,0
American Samoa,1/25/20,0,0
Guam,1/25/20,0,0
Northern Mariana Islands,1/25/20,0,0
Puerto Rico,1/25/20,0,0
Virgin Islands,1/25/20,0,0
Alabama,1/25/20,0,0
Alaska,1/25/20,0,0
Arizona,1/25/20,0,0
Arkansas,1/25/20,0,0
California,1/25/20,0,0
Colorado,1/25/20,0,0
Connecticut,1/25/20,0,0
Delaware,1/25/20,0,0
District of Columbia,1/25/20,0,0
Florida,1/25/20,0,0
Georgia,1/25/20,0,0
Hawaii,1/25/20,0,0
Idaho,1/25/20,0,0
Illinois,1/25/20,0,0
Indiana,1/25/20,0,0
Iowa,1/25/20,0,0
Kansas,1/25/20,0,0
Kentucky,1/25/20,0,0
Louisiana,1/25/20,0,0
Maine,1/25/20,0,0
Maryland,1/25/20,0,0
Massachusetts,1/25/20,0,0
Michigan,1/25/20,0,0
Minnesota,1/25/20,0,0
Mississippi,1/25/20,0,0
Missouri,1/25/20,0,0
Montana,1/25/20,0,0
Nebraska,1/25/20,0,0
Nevada,1/25/20,0,0
New Hampshire,1/25/20,0,0
New Jersey,1/25/20,0,0
New Mexico,1/25/20,0,0
New York,1/25/20,0,0
North Carolina,1/25/20,0,0
North Dakota,1/25/20,0,0
Ohio,1/25/20,0,0
Oklahoma,1/25/20,0,0
Oregon,1/25/20,0,0
Pennsylvania,1/25/20,0,0
Rhode Island,1/25/20,0,0
South Carolina,1/25/20,0,0
South Dakota,1/25/20,0,0
Tennessee,1/25/20,0,0
Texas,1/25/20,0,0
Utah,1/25/20,0,0
Vermont,1/25/20,0,0
Virginia,1/25/20,0,0
Washington,1/25/20,0,0
West Virginia,1/25/20,0,0
Wisconsin,1/25/20,0,0
Wyoming,1/25/20,0,0
Diamond Princess,1/25/20,0,0
Grand Princess,1/25/20,0,0
American Samoa,1/26/20,0,0
Guam,1/26/20,0,0
Northern Mariana Islands,1/26/20,0,0
Puerto Rico,1/26/20,0,0
Virgin Islands,1/26/20,0,0
Alabama,1/26/20,0,0
Alaska,1/26/20,0,0
Arizona,1/26/20,0,0
Arkansas,1/26/20,0,0
California,1/26/20,0,0
Colorado,1/26/20,0,0
Connecticut,1/26/20,0,0
Delaware,1/26/20,0,0
District of Columbia,1/26/20,0,0
Florida,1/26/20,0,0
Georgia,1/26/20,0,0
Hawaii,1/26/20,0,0
Idaho,1/26/20,0,0
Illinois,1/26/20,0,0
Indiana,1/26/20,0,0
Iowa,1/26/20,0,0
Kansas,1/26/20,0,0
Kentucky,1/26/20,0,0
Louisiana,1/26/20,0,0
Maine,1/26/20,0,0
Maryland,1/26/20,0,0
Massachusetts,1/26/20,0,0
Michigan,1/26/20,0,0
Minnesota,1/26/20,0,0
Mississippi,1/26/20,0,0
Missouri,1/26/20,0,0
Montana,1/26/20,0,0
Nebraska,1/26/20,0,0
Nevada,1/26/20,0,0
New Hampshire,1/26/20,0,0
New Jersey,1/26/20,0,0
New Mexico,1/26/20,0,0
New York,1/26/20,0,0
North Carolina,1/26/20,0,0
North Dakota,1/26/20,0,0
Ohio,1/26/20,0,0
Oklahoma,1/26/20,0,0
Oregon,1/26/20,0,0
Pennsylvania,1/26/20,0,0
Rhode Island,1/26/20,0,0
South Carolina,1/26/20,0,0
South Dakota,1/26/20,0,0
Tennessee,1/26/20,0,0
Texas,1/26/20,0,0
Utah,1/26/20,0,0
Vermont,1/26/20,0,0
Virginia,1/26/20,0,0
Washington,1/26/20,0,0
West Virginia,1/26/20,0,0
Wisconsin,1/26/20,0,0
Wyoming,1/26/20,0,0
Diamond Princess,1/26/20,0,0
Grand Princess,1/26/20,0,0
American Samoa,1/27/20,0,0
Guam,1/27/20,0,0
Northern Mariana Islands,1/27/20,0,0
Puerto Rico,1/27/20,0,0
Virgin Islands,1/27/20,0,0
Alabama,1/27/20,0,0
Alaska,1/27/20,0,0
Arizona,1/27/20,0,0
Arkansas,1/27/20,0,0
California,1/27/20,0,0
Colorado,1/27/20,0,0
Connecticut,1/27/20,0,0
Delaware,1/27/20,0,0
District of Columbia,1/27/20,0,0
Florida,1/27/20,0,0
Georgia,1/27/20,0,0
Hawaii,1/27/20,0,0
Idaho,1/27/20,0,0
Illinois,1/27/20,0,0
Indiana,1/27/20,0,0
Iowa,1/27/20,0,0
Kansas,1/27/20,0,0
Kentucky,1/27/20,0,0
Louisiana,1/27/20,0,0
Maine,1/27/20,0,0
Maryland,1/27/20,0,0
Massachusetts,1/27/20,0,0
Michigan,1/27/20,0,0
Minnesota,1/27/20,0,0
Mississippi,1/27/20,0,0
Missouri,1/27/20,0,0
Montana,1/27/20,0,0
Nebraska,1/27/20,0,0
Nevada,1/27/20,0,0
New Hampshire,1/27/20,0,0
New Jersey,1/27/20,0,0
New Mexico,1/27/20,0,0
New York,1/27/20,0,0
North Carolina,1/27/20,0,0
North Dakota,1/27/20,0,0
Ohio,1/27/20,0,0
Oklahoma,1/27/20,0,0
Oregon,1/27/20,0,0
Pennsylvania,1/27/20,0,0
Rhode Island,1/27/20,0,0
South Carolina,1/27/20,0,0
South Dakota,1/27/20,0,0
Tennessee,1/27/20,0,0
Texas,1/27/20,0,0
Utah,1/27/20,0,0
Vermont,1/27/20,0,0
Virginia,1/27/20,0,0
Washington,1/27/20,0,0
West Virginia,1/27/20,0,0
Wisconsin,1/27/20,0,0
Wyoming,1/27/20,0,0
Diamond Princess,1/27/20,0,0
Grand Princess,1/27/20,0,0
American Samoa,1/28/20,0,0
Guam,1/28/20,0,0
Northern Mariana Islands,1/28/20,0,0
Puerto Rico,1/28/20,0,0
Virgin Islands,1/28/20,0,0
Alabama,1/28/20,0,0
Alaska,1/28/20,0,0
Arizona,1/28/20,0,0
Arkansas,1/28/20,0,0
California,1/28/20,0,0
Colorado,1/28/20,0,0
Connecticut,1/28/20,0,0
Delaware,1/28/20,0,0
District of Columbia,1/28/20,0,0
Florida,1/28/20,0,0
Georgia,1/28/20,0,0
Hawaii,1/28/20,0,0
Idaho,1/28/20,0,0
Illinois,1/28/20,0,0
Indiana,1/28/20,0,0
Iowa,1/28/20,0,0
Kansas,1/28/20,0,0
Kentucky,1/28/20,0,0
Louisiana,1/28/20,0,0
Maine,1/28/20,0,0
Maryland,1/28/20,0,0
Massachusetts,1/28/20,0,0
Michigan,1/28/20,0,0
Minnesota,1/28/20,0,0
Mississippi,1/28/20,0,0
Missouri,1/28/20,0,0
Montana,1/28/20,0,0
Nebraska,1/28/20,0,0
Nevada,1/28/20,0,0
New Hampshire,1/28/20,0,0
New Jersey,1/28/20,0,0
New Mexico,1/28/20,0,0
New York,1/28/20,0,0
North Carolina,1/28/20,0,0
North Dakota,1/28/20,0,0
Ohio,1/28/20,0,0
Oklahoma,1/28/20,0,0
Oregon,1/28/20,0,0
Pennsylvania,1/28/20,0,0
Rhode Island,1/28/20,0,0
South Carolina,1/28/20,0,0
South Dakota,1/28/20,0,0
Tennessee,1/28/20,0,0
Texas,1/28/20,0,0
Utah,1/28/20,0,0
Vermont,1/28/20,0,0
Virginia,1/28/20,0,0
Washington,1/28/20,0,0
West Virginia,1/28/20,0,0
Wisconsin,1/28/20,0,0
Wyoming,1/28/20,0,0
Diamond Princess,1/28/20,0,0
Grand Princess,1/28/20,0,0
American Samoa,1/29/20,0,0
Guam,1/29/20,0,0
Northern Mariana Islands,1/29/20,0,0
Puerto Rico,1/29/20,0,0
Virgin Islands,1/29/20,0,0
Alabama,1/29/20,0,0
Alaska,1/29/20,0,0
Arizona,1/29/20,0,0
Arkansas,1/29/20,0,0
California,1/29/20,0,0
Colorado,1/29/20,0,0
Connecticut,1/29/20,0,0
Delaware,1/29/20,0,0
District of Columbia,1/29/20,0,0
Florida,1/29/20,0,0
Georgia,1/29/20,0,0
Hawaii,1/29/20,0,0
Idaho,1/29/20,0,0
Illinois,1/29/20,0,0
Indiana,1/29/20,0,0
Iowa,1/29/20,0,0
Kansas,1/29/20,0,0
Kentucky,1/29/20,0,0
Louisiana,1/29/20,0,0
Maine,1/29/20,0,0
Maryland,1/29/20,0,0
Massachusetts,1/29/20,0,0
Michigan,1/29/20,0,0
Minnesota,1/29/20,0,0
Mississippi,1/29/20,0,0
Missouri,1/29/20,0,0
Montana,1/29/20,0,0
Nebraska,1/29/20,0,0
Nevada,1/29/20,0,0
New Hampshire,1/29/20,0,0
New Jersey,1/29/20,0,0
New Mexico,1/29/20,0,0
New York,1/29/20,0,0
North Carolina,1/29/20,0,0
North Dakota,1/29/20,0,0
Ohio,1/29/20,0,0
Oklahoma,1/29/20,0,0
Oregon,1/29/20,0,0
Pennsylvania,1/29/20,0,0
Rhode Island,1/29/20,0,0
South Carolina,1/29/20,0,0
South Dakota,1/29/20,0,0
Tennessee,1/29/20,0,0
Texas,1/29/20,0,0
Utah,1/29/20,0,0
Vermont,1/29/20,0,0
Virginia,1/29/20,0,0
Washington,1/29/20,0,0
West Virginia,1/29/20,0,0
Wisconsin,1/29/20,0,0
Wyoming,1/29/20,0,0
Diamond Princess,1/29/20,0,0
Grand Princess,1/29/20,0,0
American Samoa,1/30/20,0,0
Guam,1/30/20,0,0
Northern Mariana Islands,1/30/20,0,0
Puerto Rico,1/30/20,0,0
Virgin Islands,1/30/20,0,0
Alabama,1/30/20,0,0
Alaska,1/30/20,0,0
Arizona,1/30/20,0,0
Arkansas,1/30/20,0,0
California,1/30/20,0,0
Colorado,1/30/20,0,0
Connecticut,1/30/20,0,0
Delaware,1/30/20,0,0
District of Columbia,1/30/20,0,0
Florida,1/30/20,0,0
Georgia,1/30/20,0,0
Hawaii,1/30/20,0,0
Idaho,1/30/20,0,0
Illinois,1/30/20,0,0
Indiana,1/30/20,0,0
Iowa,1/30/20,0,0
Kansas,1/30/20,0,0
Kentucky,1/30/20,0,0
Louisiana,1/30/20,0,0
Maine,1/30/20,0,0
Maryland,1/30/20,0,0
Massachusetts,1/30/20,0,0
Michigan,1/30/20,0,0
Minnesota,1/30/20,0,0
Mississippi,1/30/20,0,0
Missouri,1/30/20,0,0
Montana,1/30/20,0,0
Nebraska,1/30/20,0,0
Nevada,1/30/20,0,0
New Hampshire,1/30/20,0,0
New Jersey,1/30/20,0,0
New Mexico,1/30/20,0,0
New York,1/30/20,0,0
North Carolina,1/30/20,0,0
North Dakota,1/30/20,0,0
Ohio,1/30/20,0,0
Oklahoma,1/30/20,0,0
Oregon,1/30/20,0,0
Pennsylvania,1/30/20,0,0
Rhode Island,1/30/20,0,0
South Carolina,1/30/20,0,0
South Dakota,1/30/20,0,0
Tennessee,1/30/20,0,0
Texas,1/30/20,0,0
Utah,1/30/20,0,0
Vermont,1/30/20,0,0
Virginia,1/30/20,0,0
Washington,1/30/20,0,0
West Virginia,1/30/20,0,0
Wisconsin,1/30/20,0,0
Wyoming,1/30/20,0,0
Diamond Princess,1/30/20,0,0
Grand Princess,1/30/20,0,0
American Samoa,1/31/20,0,0
Guam,1/31/20,0,0
Northern Mariana Islands,1/31/20,0,0
Puerto Rico,1/31/20,0,0
Virgin Islands,1/31/20,0,0
Alabama,1/31/20,0,0
Alaska,1/31/20,0,0
Arizona,1/31/20,0,0
Arkansas,1/31/20,0,0
California,1/31/20,0,0
Colorado,1/31/20,0,0
Connecticut,1/31/20,0,0
Delaware,1/31/20,0,0
District of Columbia,1/31/20,0,0
Florida,1/31/20,0,0
Georgia,1/31/20,0,0
Hawaii,1/31/20,0,0
Idaho,1/31/20,0,0
Illinois,1/31/20,0,0
Indiana,1/31/20,0,0
Iowa,1/31/20,0,0
Kansas,1/31/20,0,0
Kentucky,1/31/20,0,0
Louisiana,1/31/20,0,0
Maine,1/31/20,0,0
Maryland,1/31/20,0,0
Massachusetts,1/31/20,0,0
Michigan,1/31/20,0,0
Minnesota,1/31/20,0,0
Mississippi,1/31/20,0,0
Missouri,1/31/20,0,0
Montana,1/31/20,0,0
Nebraska,1/31/20,0,0
Nevada,1/31/20,0,0
New Hampshire,1/31/20,0,0
New Jersey,1/31/20,0,0
New Mexico,1/31/20,0,0
New York,1/31/20,0,0
North Carolina,1/31/20,0,0
North Dakota,1/31/20,0,0
Ohio,1/31/20,0,0
Oklahoma,1/31/20,0,0
Oregon,1/31/20,0,0
Pennsylvania,1/31/20,0,0
Rhode Island,1/31/20,0,0
South Carolina,1/31/20,0,0
South Dakota,1/31/20,0,0
Tennessee,1/31/20,0,0
Texas,1/31/20,0,0
Utah,1/31/20,0,0
Vermont,1/31/20,0,0
Virginia,1/31/20,0,0
Washington,1/31/20,0,0
West Virginia,1/31/20,0,0
Wisconsin,1/31/20,0,0
Wyoming,1/31/20,0,0
Diamond Princess,1/31/20,0,0
Grand Princess,1/31/20,0,0
American Samoa,2/1/20,0,0
Guam,2/1/20,0,0
Northern Mariana Islands,2/1/20,0,0
Puerto Rico,2/1/20,0,0
Virgin Islands,2/1/20,0,0
Alabama,2/1/20,0,0
Alaska,2/1/20,0,0
Arizona,2/1/20,0,0
Arkansas,2/1/20,0,0
California,2/1/20,0,0
Colorado,2/1/20,0,0
Connecticut,2/1/20,0,0
Delaware,2/1/20,0,0
District of Columbia,2/1/20,0,0
Florida,2/1/20,0,0
Georgia,2/1/20,0,0
Hawaii,2/1/20,0,0
Idaho,2/1/20,0,0
Illinois,2/1/20,0,0
Indiana,2/1/20,0,0
Iowa,2/1/20,0,0
Kansas,2/1/20,0,0
Kentucky,2/1/20,0,0
Louisiana,2/1/20,0,0
Maine,2/1/20,0,0
Maryland,2/1/20,0,0
Massachusetts,2/1/20,0,0
Michigan,2/1/20,0,0
Minnesota,2/1/20,0,0
Mississippi,2/1/20,0,0
Missouri,2/1/20,0,0
Montana,2/1/20,0,0
Nebraska,2/1/20,0,0
Nevada,2/1/20,0,0
New Hampshire,2/1/20,0,0
New Jersey,2/1/20,0,0
New Mexico,2/1/20,0,0
New York,2/1/20,0,0
North Carolina,2/1/20,0,0
North Dakota,2/1/20,0,0
Ohio,2/1/20,0,0
Oklahoma,2/1/20,0,0
Oregon,2/1/20,0,0
Pennsylvania,2/1/20,0,0
Rhode Island,2/1/20,0,0
South Carolina,2/1/20,0,0
South Dakota,2/1/20,0,0
Tennessee,2/1/20,0,0
Texas,2/1/20,0,0
Utah,2/1/20,0,0
Vermont,2/1/20,0,0
Virginia,2/1/20,0,0
Washington,2/1/20,0,0
West Virginia,2/1/20,0,0
Wisconsin,2/1/20,0,0
Wyoming,2/1/20,0,0
Diamond Princess,2/1/20,0,0
Grand Princess,2/1/20,0,0
American Samoa,2/2/20,0,0
Guam,2/2/20,0,0
Northern Mariana Islands,2/2/20,0,0
Puerto Rico,2/2/20,0,0
Virgin Islands,2/2/20,0,0
Alabama,2/2/20,0,0
Alaska,2/2/20,0,0
Arizona,2/2/20,0,0
Arkansas,2/2/20,0,0
California,2/2/20,0,0
Colorado,2/2/20,0,0
Connecticut,2/2/20,0,0
Delaware,2/2/20,0,0
District of Columbia,2/2/20,0,0
Florida,2/2/20,0,0
Georgia,2/2/20,0,0
Hawaii,2/2/20,0,0
Idaho,2/2/20,0,0
Illinois,2/2/20,0,0
Indiana,2/2/20,0,0
Iowa,2/2/20,0,0
Kansas,2/2/20,0,0
Kentucky,2/2/20,0,0
Louisiana,2/2/20,0,0
Maine,2/2/20,0,0
Maryland,2/2/20,0,0
Massachusetts,2/2/20,0,0
Michigan,2/2/20,0,0
Minnesota,2/2/20,0,0
Mississippi,2/2/20,0,0
Missouri,2/2/20,0,0
Montana,2/2/20,0,0
Nebraska,2/2/20,0,0
Nevada,2/2/20,0,0
New Hampshire,2/2/20,0,0
New Jersey,2/2/20,0,0
New Mexico,2/2/20,0,0
New York,2/2/20,0,0
North Carolina,2/2/20,0,0
North Dakota,2/2/20,0,0
Ohio,2/2/20,0,0
Oklahoma,2/2/20,0,0
Oregon,2/2/20,0,0
Pennsylvania,2/2/20,0,0
Rhode Island,2/2/20,0,0
South Carolina,2/2/20,0,0
South Dakota,2/2/20,0,0
Tennessee,2/2/20,0,0
Texas,2/2/20,0,0
Utah,2/2/20,0,0
Vermont,2/2/20,0,0
Virginia,2/2/20,0,0
Washington,2/2/20,0,0
West Virginia,2/2/20,0,0
Wisconsin,2/2/20,0,0
Wyoming,2/2/20,0,0
Diamond Princess,2/2/20,0,0
Grand Princess,2/2/20,0,0
American Samoa,2/3/20,0,0
Guam,2/3/20,0,0
Northern Mariana Islands,2/3/20,0,0
Puerto Rico,2/3/20,0,0
Virgin Islands,2/3/20,0,0
Alabama,2/3/20,0,0
Alaska,2/3/20,0,0
Arizona,2/3/20,0,0
Arkansas,2/3/20,0,0
California,2/3/20,0,0
Colorado,2/3/20,0,0
Connecticut,2/3/20,0,0
Delaware,2/3/20,0,0
District of Columbia,2/3/20,0,0
Florida,2/3/20,0,0
Georgia,2/3/20,0,0
Hawaii,2/3/20,0,0
Idaho,2/3/20,0,0
Illinois,2/3/20,0,0
Indiana,2/3/20,0,0
Iowa,2/3/20,0,0
Kansas,2/3/20,0,0
Kentucky,2/3/20,0,0
Louisiana,2/3/20,0,0
Maine,2/3/20,0,0
Maryland,2/3/20,0,0
Massachusetts,2/3/20,0,0
Michigan,2/3/20,0,0
Minnesota,2/3/20,0,0
Mississippi,2/3/20,0,0
Missouri,2/3/20,0,0
Montana,2/3/20,0,0
Nebraska,2/3/20,0,0
Nevada,2/3/20,0,0
New Hampshire,2/3/20,0,0
New Jersey,2/3/20,0,0
New Mexico,2/3/20,0,0
New York,2/3/20,0,0
North Carolina,2/3/20,0,0
North Dakota,2/3/20,0,0
Ohio,2/3/20,0,0
Oklahoma,2/3/20,0,0
Oregon,2/3/20,0,0
Pennsylvania,2/3/20,0,0
Rhode Island,2/3/20,0,0
South Carolina,2/3/20,0,0
South Dakota,2/3/20,0,0
Tennessee,2/3/20,0,0
Texas,2/3/20,0,0
Utah,2/3/20,0,0
Vermont,2/3/20,0,0
Virginia,2/3/20,0,0
Washington,2/3/20,0,0
West Virginia,2/3/20,0,0
Wisconsin,2/3/20,0,0
Wyoming,2/3/20,0,0
Diamond Princess,2/3/20,0,0
Grand Princess,2/3/20,0,0
American Samoa,2/4/20,0,0
Guam,2/4/20,0,0
Northern Mariana Islands,2/4/20,0,0
Puerto Rico,2/4/20,0,0
Virgin Islands,2/4/20,0,0
Alabama,2/4/20,0,0
Alaska,2/4/20,0,0
Arizona,2/4/20,0,0
Arkansas,2/4/20,0,0
California,2/4/20,0,0
Colorado,2/4/20,0,0
Connecticut,2/4/20,0,0
Delaware,2/4/20,0,0
District of Columbia,2/4/20,0,0
Florida,2/4/20,0,0
Georgia,2/4/20,0,0
Hawaii,2/4/20,0,0
Idaho,2/4/20,0,0
Illinois,2/4/20,0,0
Indiana,2/4/20,0,0
Iowa,2/4/20,0,0
Kansas,2/4/20,0,0
Kentucky,2/4/20,0,0
Louisiana,2/4/20,0,0
Maine,2/4/20,0,0
Maryland,2/4/20,0,0
Massachusetts,2/4/20,0,0
Michigan,2/4/20,0,0
Minnesota,2/4/20,0,0
Mississippi,2/4/20,0,0
Missouri,2/4/20,0,0
Montana,2/4/20,0,0
Nebraska,2/4/20,0,0
Nevada,2/4/20,0,0
New Hampshire,2/4/20,0,0
New Jersey,2/4/20,0,0
New Mexico,2/4/20,0,0
New York,2/4/20,0,0
North Carolina,2/4/20,0,0
North Dakota,2/4/20,0,0
Ohio,2/4/20,0,0
Oklahoma,2/4/20,0,0
Oregon,2/4/20,0,0
Pennsylvania,2/4/20,0,0
Rhode Island,2/4/20,0,0
South Carolina,2/4/20,0,0
South Dakota,2/4/20,0,0
Tennessee,2/4/20,0,0
Texas,2/4/20,0,0
Utah,2/4/20,0,0
Vermont,2/4/20,0,0
Virginia,2/4/20,0,0
Washington,2/4/20,0,0
West Virginia,2/4/20,0,0
Wisconsin,2/4/20,0,0
Wyoming,2/4/20,0,0
Diamond Princess,2/4/20,0,0
Grand Princess,2/4/20,0,0
American Samoa,2/5/20,0,0
Guam,2/5/20,0,0
Northern Mariana Islands,2/5/20,0,0
Puerto Rico,2/5/20,0,0
Virgin Islands,2/5/20,0,0
Alabama,2/5/20,0,0
Alaska,2/5/20,0,0
Arizona,2/5/20,0,0
Arkansas,2/5/20,0,0
California,2/5/20,0,0
Colorado,2/5/20,0,0
Connecticut,2/5/20,0,0
Delaware,2/5/20,0,0
District of Columbia,2/5/20,0,0
Florida,2/5/20,0,0
Georgia,2/5/20,0,0
Hawaii,2/5/20,0,0
Idaho,2/5/20,0,0
Illinois,2/5/20,0,0
Indiana,2/5/20,0,0
Iowa,2/5/20,0,0
Kansas,2/5/20,0,0
Kentucky,2/5/20,0,0
Louisiana,2/5/20,0,0
Maine,2/5/20,0,0
Maryland,2/5/20,0,0
Massachusetts,2/5/20,0,0
Michigan,2/5/20,0,0
Minnesota,2/5/20,0,0
Mississippi,2/5/20,0,0
Missouri,2/5/20,0,0
Montana,2/5/20,0,0
Nebraska,2/5/20,0,0
Nevada,2/5/20,0,0
New Hampshire,2/5/20,0,0
New Jersey,2/5/20,0,0
New Mexico,2/5/20,0,0
New York,2/5/20,0,0
North Carolina,2/5/20,0,0
North Dakota,2/5/20,0,0
Ohio,2/5/20,0,0
Oklahoma,2/5/20,0,0
Oregon,2/5/20,0,0
Pennsylvania,2/5/20,0,0
Rhode Island,2/5/20,0,0
South Carolina,2/5/20,0,0
South Dakota,2/5/20,0,0
Tennessee,2/5/20,0,0
Texas,2/5/20,0,0
Utah,2/5/20,0,0
Vermont,2/5/20,0,0
Virginia,2/5/20,0,0
Washington,2/5/20,0,0
West Virginia,2/5/20,0,0
Wisconsin,2/5/20,0,0
Wyoming,2/5/20,0,0
Diamond Princess,2/5/20,0,0
Grand Princess,2/5/20,0,0
American Samoa,2/6/20,0,0
Guam,2/6/20,0,0
Northern Mariana Islands,2/6/20,0,0
Puerto Rico,2/6/20,0,0
Virgin Islands,2/6/20,0,0
Alabama,2/6/20,0,0
Alaska,2/6/20,0,0
Arizona,2/6/20,0,0
Arkansas,2/6/20,0,0
California,2/6/20,0,0
Colorado,2/6/20,0,0
Connecticut,2/6/20,0,0
Delaware,2/6/20,0,0
District of Columbia,2/6/20,0,0
Florida,2/6/20,0,0
Georgia,2/6/20,0,0
Hawaii,2/6/20,0,0
Idaho,2/6/20,0,0
Illinois,2/6/20,0,0
Indiana,2/6/20,0,0
Iowa,2/6/20,0,0
Kansas,2/6/20,0,0
